RUN	perf.TestSimulation	testsimulation	1676394243974	 	3.0.3
REQUEST	9	signOff	/cgi-bin/nav.pl	1676394319344	1676394319433	OK	 
REQUEST	9	signOff	/WebTours/home.html	1676394319434	1676394319479	OK	 
GROUP	9	signOff	1676394319255	1676394319480	221	OK
USER	mainScenario	9	END	1676394317667	1676394319480
USER	mainScenario	10	START	1676394326678	1676394326678
REQUEST	10	open	/webtours/	1676394326678	1676394326738	OK	 
REQUEST	10	open	/cgi-bin/welcome.pl	1676394326739	1676394326816	OK	 
REQUEST	10	open	/cgi-bin/nav.pl	1676394326817	1676394326890	OK	 
GROUP	10	open	1676394326678	1676394326890	210	OK
REQUEST	10	login	/cgi-bin/login.pl	1676394326891	1676394326988	OK	 
REQUEST	10	login	/cgi-bin/nav.pl	1676394326989	1676394327077	OK	 
REQUEST	10	login	/cgi-bin/login.pl	1676394327078	1676394327170	OK	 
GROUP	10	login	1676394326890	1676394327170	277	OK
REQUEST	10	buyTicket	/cgi-bin/welcome.pl	1676394327171	1676394327259	OK	 
REQUEST	10	buyTicket	/cgi-bin/nav.pl	1676394327260	1676394327349	OK	 
REQUEST	10	buyTicket	/cgi-bin/reservations.pl	1676394327350	1676394327477	OK	 
REQUEST	10	buyTicket	/cgi-bin/reservations.pl	1676394327478	1676394327581	OK	 
REQUEST	10	buyTicket	/cgi-bin/reservations.pl	1676394327582	1676394327691	OK	 
REQUEST	10	buyTicket	/cgi-bin/reservations.pl	1676394327692	1676394327799	OK	 
GROUP	10	buyTicket	1676394327171	1676394327799	623	OK
REQUEST	10	itinerary	/cgi-bin/welcome.pl	1676394327799	1676394327886	OK	 
REQUEST	10	itinerary	/cgi-bin/nav.pl	1676394327887	1676394327975	OK	 
REQUEST	10	itinerary	/cgi-bin/itinerary.pl	1676394327976	1676394328696	OK	 
GROUP	10	itinerary	1676394327799	1676394328699	895	OK
REQUEST	10	signOff	/cgi-bin/welcome.pl	1676394328699	1676394328777	OK	 
REQUEST	10	signOff	/cgi-bin/nav.pl	1676394328778	1676394328858	OK	 
REQUEST	10	signOff	/WebTours/home.html	1676394328859	1676394328888	OK	 
GROUP	10	signOff	1676394328699	1676394328889	187	OK
USER	mainScenario	10	END	1676394326678	1676394328889
USER	mainScenario	11	START	1676394335684	1676394335684
